流水號,授課對象,課號,班次,課程名稱,簡介影片,學分,課程識別碼,全/半年,必/選修,授課教師,加選方式,時間教室,總人數,選課限制條件,備註,課程網頁,本學期我預計要選的課程,classroom,time_0_0,time_0_1,time_0_2,time_0_3,time_0_4,time_0_5,time_0_6,time_0_7,time_0_8,time_0_9,time_0_10,time_0_11,time_0_12,time_0_13,time_0_14,time_1_0,time_1_1,time_1_2,time_1_3,time_1_4,time_1_5,time_1_6,time_1_7,time_1_8,time_1_9,time_1_10,time_1_11,time_1_12,time_1_13,time_1_14,time_2_0,time_2_1,time_2_2,time_2_3,time_2_4,time_2_5,time_2_6,time_2_7,time_2_8,time_2_9,time_2_10,time_2_11,time_2_12,time_2_13,time_2_14,time_3_0,time_3_1,time_3_2,time_3_3,time_3_4,time_3_5,time_3_6,time_3_7,time_3_8,time_3_9,time_3_10,time_3_11,time_3_12,time_3_13,time_3_14,time_4_0,time_4_1,time_4_2,time_4_3,time_4_4,time_4_5,time_4_6,time_4_7,time_4_8,time_4_9,time_4_10,time_4_11,time_4_12,time_4_13,time_4_14,time_5_0,time_5_1,time_5_2,time_5_3,time_5_4,time_5_5,time_5_6,time_5_7,time_5_8,time_5_9,time_5_10,time_5_11,time_5_12,time_5_13,time_5_14,time_6_0,time_6_1,time_6_2,time_6_3,time_6_4,time_6_5,time_6_6,time_6_7,time_6_8,time_6_9,time_6_10,time_6_11,time_6_12,time_6_13,time_6_14,A1,A2,A3,A4,A5,A6,A7,A8
 ,物理系,Common1011, , 國文領域,  ,3.0,000 10110,半年,必修, , , ,100,本校修課人數上限：100人,參閱共同必修國文領域課程時間表。,    , ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,物理系,Common1009, , 外文領域上,  ,3.0,000 20001,全年,必修, , , ,100,本校修課人數上限：100人,參閱外文領域課程時間表,    , ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51334,物理系,MATH4006,05, 微積分1,  ,2.0,201 49810,半年,必帶,齊震宇,3,"第1,2,3,4,5,6,7,8                             週一10(新303)二6,7(新303)四8,9(新303)",80,"限本系所學生(含輔系、雙修生),本校修課人數上限：80人","本課程中文授課,使用英文教科書。密集課程。統一教學.一10為實習課.初選將直接帶入此班次的微積分2.加退選階段請自行加選微積分2.",    , ,新303,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69214,物理系,MATH4007,05, 微積分2,  ,2.0,201 49820,半年,必帶,齊震宇,3,"第9,10,11,12,13,14,15,16                      週一10(新303)二6,7(新303)四8,9(新303)",80,"限本系所學生(含輔系、雙修生),本校修課人數上限：80人","初選不開放。本課程中文授課,使用英文教科書。密集課程。初選不開放.密集課程.統一教學.一10為實習課.",    , ,新303,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39375,物理系,Phys1001, , 服務學習一,  ,0.0,202 00110,半年,必帶,賀培銘,2, ,40,"限學號單號,本校修課人數上限：40人", ,    , ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10927,物理系,Phys1006,02, 普通物理學甲上,  ,3.0,202 101A1,全年,必帶,賀培銘,2,"二3,4(新物111)四3,4(新物111)",75,"限本系所學生(含輔系、雙修生),本校修課人數上限：75人","本課程中文授課,使用英文教科書。兼通識A7*。",    , ,新物111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
69784,物理系,Phys1008,05, 普通物理學乙,  ,3.0,202E101B0,半年,選修,謝馬利歐,2,"一2,3,4(綜502)",60(含開放臺大系統人數:8),本校修課人數上限：52人,本課程以英語授課。英文專班本課程英文化程度說明,    , ,綜502,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64647,物理系,Phys1026,02, 普通物理學實驗上,  ,1.0,202 10501,全年,必帶,賀培銘,2,"五7,8,9(請洽系所辦)  ",35,"限本系所學生(含輔系、雙修生) 且 限學號單號,本校修課人數上限：35人","本課程中文授課,使用英文教科書。教室請見舊物館一樓佈告欄。",    , ,請洽系所辦,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48054,物理系,Phys1026,17, 普通物理學實驗上,  ,1.0,202 10501,全年,必帶,傅昭銘,2,"五7,8,9(請洽系所辦)  ",35,"限本系所學生(含輔系、雙修生) 且 限學號雙號,本校修課人數上限：35人","本課程中文授課,使用英文教科書。教室請見舊物館一樓佈告欄。",    , ,請洽系所辦,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69899,物理系,Phys1026,18, 普通物理學實驗上,  ,1.0,202E10501,全年,選修,傅昭銘,2,"四7,8,9(請洽系所辦)  ",35,"本校修課人數上限：35人,外系人數限制：15人",本課程以英語授課。本課程以英文授課。教室請見舊物館一樓佈告欄本課程英文化程度說明,    , ,請洽系所辦,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
