流水號,授課對象,課號,班次,課程名稱,簡介影片,學分,課程識別碼,全/半年,授課教師,加選方式,時間教室,總人數,選課限制條件,備註,課程網頁,本學期我預計要選的課程,classroom,time_0_0,time_0_1,time_0_2,time_0_3,time_0_4,time_0_5,time_0_6,time_0_7,time_0_8,time_0_9,time_0_10,time_0_11,time_0_12,time_0_13,time_0_14,time_1_0,time_1_1,time_1_2,time_1_3,time_1_4,time_1_5,time_1_6,time_1_7,time_1_8,time_1_9,time_1_10,time_1_11,time_1_12,time_1_13,time_1_14,time_2_0,time_2_1,time_2_2,time_2_3,time_2_4,time_2_5,time_2_6,time_2_7,time_2_8,time_2_9,time_2_10,time_2_11,time_2_12,time_2_13,time_2_14,time_3_0,time_3_1,time_3_2,time_3_3,time_3_4,time_3_5,time_3_6,time_3_7,time_3_8,time_3_9,time_3_10,time_3_11,time_3_12,time_3_13,time_3_14,time_4_0,time_4_1,time_4_2,time_4_3,time_4_4,time_4_5,time_4_6,time_4_7,time_4_8,time_4_9,time_4_10,time_4_11,time_4_12,time_4_13,time_4_14,time_5_0,time_5_1,time_5_2,time_5_3,time_5_4,time_5_5,time_5_6,time_5_7,time_5_8,time_5_9,time_5_10,time_5_11,time_5_12,time_5_13,time_5_14,time_6_0,time_6_1,time_6_2,time_6_3,time_6_4,time_6_5,time_6_6,time_6_7,time_6_8,time_6_9,time_6_10,time_6_11,time_6_12,time_6_13,time_6_14,A1,A2,A3,A4,A5,A6,A7,A8
22912, ,Hist4037, , 臺灣近代史,  ,2.0,103 51750,半年,歐素瑛,2,"五8,9(博雅201)",100(含開放臺大系統人數:20),"本校修課人數上限：80人,外系人數限制：80人",為歷史系選修(20人)。開放臺藝大5名加選。兼通識A2*。。A2*:歷史思維領域。可充抵通識,    , ,博雅201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42567, ,Hist3108, , 現代中國與世界：1842-1911,  ,3.0,103 52230,半年,王遠義,2,"二8,9,10(博雅101)",200,"本校修課人數上限：200人,外系人數限制：160人",為歷史系選修(40人)。兼通識A2*。。A2*:歷史思維領域。可充抵通識,    , ,博雅101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38955, ,Hist1595, , 戰後臺灣民主運動史,  ,3.0,103 52290,半年,陳翠蓮,2,"二7,8,9(博雅103)",100(含開放臺大系統人數:10),本校修課人數上限：90人,開放國北教2名加選。。A2:歷史思維,    , ,博雅103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39066, ,Hist1600, , 東亞現代史,  ,3.0,103 52470,半年,羅士傑,2,"三6,7,8(博雅102)",220(含開放臺大系統人數:20),本校修課人數上限：200人,A2:歷史思維,   , ,博雅102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53501, ,Hist2166, , 香港的歷史與文化,  ,3.0,103 52850,半年,陳俊強,2,"四7,8,9(博雅202)",120(含開放臺大系統人數:10),"本校修課人數上限：110人,外系人數限制：90人",為歷史系選修(30人)。初選選上同學，第一、二週務必出席上課，否則逕予退選。開放國北教2名加選。兼通識A3*。。A3*:世界文明領域。可充抵通識,    , ,博雅202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32202, ,Hist1604, , 歷史上東亞的帝國及其敵人,  ,2.0,103 52860,半年,甘懷真,2,"二8,9(博雅201)",100,本校修課人數上限：100人,初選已選上的同學，第一週請務必出席上課，否則逕予退選。。A2:歷史思維,    , ,博雅201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33433, ,Hist1606, , 古希臘文與古典學導論一,  ,3.0,103E52950,半年,張瑞林,2,"二2,3,4(博雅302)",50(含開放臺大系統人數:4),"本校修課人數上限：46人,外系人數限制：45人",本課程以英語授課。歷史系選修(5人)。兼通識A3*。。A3*:世界文明領域。可充抵通識本課程英文化程度說明,    , ,博雅302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33774, ,Hist1614, , 人文學的過去與未來,  ,2.0,103 53100,半年,傅揚,2,"一6,7(博雅202)",80,本校修課人數上限：80人,A25:歷史思維、公民意識與社會分析,   , ,博雅202,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
64038, ,Phl1907, , 生命的學問,  ,3.0,104 07100,半年,孫效智,2,"五7,8,9(博雅406)",30,本校修課人數上限：30人,兼通識A4*。。A4*:哲學與道德思考領域。可充抵通識,    , ,博雅406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34139, ,Phl1908, , 愛的哲學思考,  ,2.0,104 07200,半年,鄭義愷,3,"二7,8(博雅302)",80,本校修課人數上限：80人,"本課程中文授課,使用英文教科書。兼通識A34*。。A34*:世界文明、哲學與道德思考領域。可充抵通識",    , ,博雅302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
56866, ,Phl1909, , 德行倫理學：德行與幸福,  ,3.0,104 07300,半年,林火旺,3,"二7,8,9(新103)",86(含開放臺大系統人數:6),本校修課人數上限：80人,"本課程中文授課,使用英文教科書。兼通識A4*。。A4*:哲學與道德思考領域。可充抵通識",    , ,新103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55184, ,Phl1413, , 中國哲學導論,  ,3.0,104 08700,半年,陳志強,3,"二6,7,8(水源階梯201)",80(含開放臺大系統人數:4),本校修課人數上限：76人,A4:哲學與道德思考,   , ,水源階梯201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45098, ,Phl1905, , 正義的理論與實踐,  ,3.0,104E09800,半年,苑舉正,2,"三2,3,4(普405)",60(含開放臺大系統人數:4),本校修課人數上限：56人,本課程以英語授課。兼通識A34*。。A34*:世界文明、哲學與道德思考領域。可充抵通識本課程英文化程度說明,    , ,普405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
71540, ,Phl1511,01, 邏輯,  ,2.0,104 12100,半年,曾漢塘,3,"五3,4(新204)",100(含開放臺大系統人數:6),本校修課人數上限：94人,A4:哲學與道德思考,    , ,新204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26732, ,Phl1511,02, 邏輯,  ,2.0,104 12100,半年,曾漢塘,3,"五6,7(博雅302)",100(含開放臺大系統人數:6),本校修課人數上限：94人,A4:哲學與道德思考,    , ,博雅302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27304, ,Phl3803, , 懷疑論,  ,3.0,104 26700,半年,苑舉正,2,"二2,3,4(普503)",80(含開放臺大系統人數:4),本校修課人數上限：76人,"本課程中文授課,使用英文教科書。兼通識A4*。。A4*:哲學與道德思考領域。可充抵通識",    , ,普503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
